"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.143314795E1,6.150440750E1,2.360875100E1,1.170047987E2,1.690000057E0,8.850000000E1,3.790092468E0,2.500000000E0
4.243276748E1,6.150440855E1,2.360878490E1,1.169897865E2,1.679999948E0,8.509999847E1,3.790092468E0,2.500000000E0
4.343276754E1,6.150441139E1,2.360881795E1,1.167829422E2,1.659999967E0,7.880000305E1,3.790092468E0,2.500000000E0
4.443302415E1,6.150441552E1,2.360885011E1,1.164728273E2,1.649999976E0,7.559999847E1,3.790092468E0,2.500000000E0
4.543320623E1,6.150441939E1,2.360888273E1,1.166161425E2,1.690000057E0,7.680000305E1,3.790092468E0,2.500000000E0
4.643326858E1,6.150442201E1,2.360891347E1,1.162407798E2,1.480000019E0,8.000000000E1,3.790092468E0,2.500000000E0
4.743259936E1,6.150442470E1,2.360894411E1,1.160863034E2,1.620000005E0,8.080000305E1,3.790092468E0,2.500000000E0
4.843311623E1,6.150442755E1,2.360897595E1,1.159520298E2,1.690000057E0,8.119999695E1,3.790092468E0,2.500000000E0
4.943247670E1,6.150442949E1,2.360900754E1,1.159067448E2,1.549999952E0,8.209999847E1,3.790092468E0,2.500000000E0
5.043276660E1,6.150443060E1,2.360903988E1,1.157082609E2,1.659999967E0,8.580000305E1,3.790092468E0,2.500000000E0
5.143278092E1,6.150443122E1,2.360907011E1,1.156718248E2,1.379999995E0,8.780000305E1,3.790092468E0,2.500000000E0
5.243258071E1,6.150443166E1,2.360910033E1,1.156065190E2,1.610000014E0,8.819999695E1,3.790092468E0,2.500000000E0
5.343273165E1,6.150443221E1,2.360913390E1,1.158538355E2,1.669999957E0,8.800000000E1,3.790092468E0,2.500000000E0
5.443246623E1,6.150443279E1,2.360916751E1,1.159829879E2,1.629999995E0,8.690000153E1,3.790092468E0,2.500000000E0
5.543283274E1,6.150443360E1,2.360920013E1,1.162278021E2,1.649999976E0,8.709999847E1,3.790092468E0,2.500000000E0
5.643297092E1,6.150443468E1,2.360923210E1,1.162201141E2,1.570000052E0,8.640000153E1,3.790092468E0,2.500000000E0
5.743307212E1,6.150443597E1,2.360926162E1,1.162062615E2,1.429999948E0,8.530000305E1,3.790092468E0,2.500000000E0
5.843326894E1,6.150443744E1,2.360929093E1,1.162309833E2,1.490000010E0,8.450000000E1,3.790092468E0,2.500000000E0
5.943319940E1,6.150443870E1,2.360931993E1,1.166310101E2,1.460000038E0,8.530000305E1,3.790092468E0,2.500000000E0
6.043293414E1,6.150443988E1,2.360935004E1,1.168791815E2,1.590000033E0,8.630000305E1,3.790092468E0,2.500000000E0
6.143302383E1,6.150444142E1,2.360938070E1,1.167054781E2,1.539999962E0,8.559999847E1,3.790092468E0,2.500000000E0
6.243257050E1,6.150444296E1,2.360941244E1,1.166620238E2,1.610000014E0,8.590000153E1,3.790092468E0,2.500000000E0
6.343293201E1,6.150444467E1,2.360944474E1,1.167985013E2,1.600000024E0,8.640000153E1,3.790092468E0,2.500000000E0
6.443311836E1,6.150444610E1,2.360947536E1,1.165463066E2,1.500000000E0,8.740000153E1,3.790092468E0,2.500000000E0
6.543295711E1,6.150444712E1,2.360950749E1,1.163423905E2,1.710000038E0,8.880000305E1,3.790092468E0,2.500000000E0
6.643245320E1,6.150444726E1,2.360954070E1,1.164812472E2,1.610000014E0,8.980000305E1,3.790092468E0,2.500000000E0
6.743295909E1,6.150444732E1,2.360957198E1,1.164749621E2,1.580000043E0,9.109999847E1,3.790092468E0,2.500000000E0
6.843327107E1,6.150444760E1,2.360960376E1,1.163074834E2,1.600000024E0,9.100000000E1,3.790092468E0,2.500000000E0
6.943319789E1,6.150444810E1,2.360963793E1,1.164708765E2,1.700000048E0,8.940000153E1,3.790092468E0,2.500000000E0
7.043245049E1,6.150444912E1,2.360967162E1,1.165394214E2,1.610000014E0,8.790000153E1,3.790092468E0,2.500000000E0
7.143264695E1,6.150445019E1,2.360970441E1,1.164990185E2,1.659999967E0,8.600000000E1,3.790092468E0,2.500000000E0
7.243276904E1,6.150445104E1,2.360973406E1,1.163625460E2,1.360000014E0,8.730000305E1,3.790092468E0,2.500000000E0
7.343318044E1,6.150445112E1,2.360976455E1,1.162275988E2,1.669999957E0,8.940000153E1,3.790092468E0,2.500000000E0
7.443238143E1,6.150445073E1,2.360979821E1,1.164631348E2,1.629999995E0,9.109999847E1,3.790092468E0,2.500000000E0
7.543243982E1,6.150445032E1,2.360983274E1,1.162746596E2,1.809999943E0,9.069999695E1,3.790092468E0,2.500000000E0
7.643257351E1,6.150445008E1,2.360986573E1,1.165664090E2,1.610000014E0,8.940000153E1,3.790092468E0,2.500000000E0
7.743274377E1,6.150445024E1,2.360989621E1,1.168804365E2,1.580000043E0,8.959999847E1,3.790092468E0,2.500000000E0
